prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage
88,1647,宝島,a,鹿児島県,0.0,,,0,0.0
86,1368,五木,a,熊本県,0.0,,,0,0.0
88,1277,与論島,a,鹿児島県,0.0,0.0,0.0,10,1.0
66,0929,下呰部,a,岡山県,0.0,,,0,0.0
88,1161,佐多,a,鹿児島県,0.0,,,0,0.0
88,1149,大隅,a,鹿児島県,0.0,,,0,0.0
88,0934,出水,a,鹿児島県,0.0,,,0,0.0
66,1328,上長田,a,岡山県,0.0,0.0,0.0,10,1.0
86,1435,山江,a,熊本県,0.0,,,0,0.0
85,1667,大町,a,佐賀県,0.0,,,0,0.0
86,1240,阿蘇乙姫,a,熊本県,0.0,0.0,0.0,10,1.0
67,1579,都志見,a,広島県,0.0,,,0,0.0
73,0742,獅子越峠,a,愛媛県,0.0,,,0,0.0
73,0743,八幡浜,a,愛媛県,0.0,,,0,0.0
73,1260,富郷,a,愛媛県,0.0,,,0,0.0
73,1456,瀬戸,a,愛媛県,0.0,0.0,0.0,10,1.0
67,1603,安宿,a,広島県,0.0,,,0,0.0
67,1583,美土里,a,広島県,0.0,,,0,0.0
67,1582,君田,a,広島県,0.0,,,0,0.0
67,1575,佐伯湯来,a,広島県,0.0,,,0,0.0
73,0738,成就社,a,愛媛県,0.0,,,0,0.0
74,0747,繁藤,a,高知県,0.0,,,0,0.0
74,0748,佐川,a,高知県,0.0,,,0,0.0
74,0753,鳥形山,a,高知県,0.0,,,0,0.0
74,0754,船戸,a,高知県,0.0,,,0,0.0
74,0757,佐喜浜,a,高知県,0.0,,,0,0.0
74,0761,大正,a,高知県,0.0,,,0,0.0
74,0955,田野,a,高知県,0.0,,,0,0.0
73,0740,中山,a,愛媛県,0.0,,,0,0.0
73,0737,上林,a,愛媛県,0.0,,,0,0.0
86,1086,湯前横谷,a,熊本県,0.0,,,0,0.0
69,1178,若桜,a,鳥取県,0.0,,,0,0.0
68,1093,桜江,a,島根県,0.0,,,0,0.0
68,1095,伯太,a,島根県,0.0,,,0,0.0
68,1175,波佐,a,島根県,0.0,,,0,0.0
68,1176,匹見,a,島根県,0.0,,,0,0.0
68,1336,福光,a,島根県,0.0,,,0,0.0
69,0716,大山,a,鳥取県,0.0,,,0,0.0
69,1177,関金,a,鳥取県,0.0,,,0,0.0
69,1385,佐治,a,鳥取県,0.0,,,0,0.0
73,0733,玉川,a,愛媛県,0.0,,,0,0.0
69,1389,江尾,a,鳥取県,0.0,,,0,0.0
69,1391,鹿野,a,鳥取県,0.0,,,0,0.0
71,1098,福原旭,a,徳島県,0.0,,,0,0.0
71,1327,半田,a,徳島県,0.0,,,0,0.0
71,1677,東祖谷,a,徳島県,0.0,0.0,0.0,1,0.1
68,0696,大東,a,島根県,0.0,,,0,0.0
72,0731,竜王山,a,香川県,0.0,,,0,0.0
74,1179,池川,a,高知県,0.0,,,0,0.0
74,1281,魚梁瀬,a,高知県,0.0,,,0,0.0
74,1556,三崎,a,高知県,0.0,,,0,0.0
84,47805,平戸,s,長崎県,0.0,0.0,0.0,10,1.0
83,1554,椿ヶ鼻,a,大分県,0.0,,,0,0.0
84,0818,長浦岳,a,長崎県,0.0,,,0,0.0
84,0820,諫早,a,長崎県,0.0,,,0,0.0
84,1535,小値賀,a,長崎県,0.0,0.0,0.0,5,0.5
67,0686,竹原,a,広島県,0.0,0.0,0.0,10,1.0
84,1536,頭ヶ島,a,長崎県,0.0,0.0,0.0,5,0.5
84,1538,美津島,a,長崎県,0.0,0.0,0.0,10,1.0
84,47818,雲仙岳,s,長崎県,0.0,0.0,0.0,10,1.0
74,47899,室戸岬,s,高知県,0.0,0.0,0.0,10,1.0
85,1612,鳥栖,a,佐賀県,0.0,,,0,0.0
85,1616,北山,a,佐賀県,0.0,,,0,0.0
68,0954,佐田,a,島根県,0.0,,,0,0.0
86,0925,多良木,a,熊本県,0.0,,,0,0.0
67,0680,内黒山,a,広島県,0.0,,,0,0.0
67,0679,上下,a,広島県,0.0,,,0,0.0
86,0946,田浦,a,熊本県,0.0,,,0,0.0
83,0979,耶馬渓,a,大分県,0.0,,,0,0.0
67,0690,倉橋,a,広島県,0.0,,,0,0.0
83,0933,臼杵,a,大分県,0.0,,,0,0.0
83,0801,佐賀関,a,大分県,0.0,,,0,0.0
67,1262,八幡,a,広島県,0.0,,,0,0.0
67,1257,王泊,a,広島県,0.0,,,0,0.0
67,1163,志和,a,広島県,0.0,,,0,0.0
81,1100,羅漢山,a,山口県,0.0,,,0,0.0
81,1261,和田,a,山口県,0.0,,,0,0.0
81,1367,篠生,a,山口県,0.0,,,0,0.0
81,1620,東厚保,a,山口県,0.0,,,0,0.0
82,0789,英彦山,a,福岡県,0.0,,,0,0.0
82,0791,耳納山,a,福岡県,0.0,,,0,0.0
82,0945,柳川,a,福岡県,0.0,,,0,0.0
67,0949,甲田,a,広島県,0.0,,,0,0.0
82,1611,早良脇山,a,福岡県,0.0,,,0,0.0
82,1637,東谷,a,福岡県,0.0,,,0,0.0
67,0948,東城,a,広島県,0.0,,,0,0.0
82,1657,小呂島,a,福岡県,0.0,,,0,0.0
81,1614,鹿野,a,山口県,0.0,,,0,0.0
11,0002,沓形,a,宗谷地方,0.0,0.0,0.0,10,1.0
65,1172,色川,a,和歌山県,0.0,,,0,0.0
24,47428,江差,s,檜山地方,0.0,0.0,0.0,10,1.0
31,0174,大鰐,a,青森県,0.0,,,0,0.0
31,0177,休屋,a,青森県,0.0,0.0,0.0,10,1.0
31,1026,今別,a,青森県,0.0,0.0,0.0,10,1.0
31,1027,六ケ所,a,青森県,0.0,0.0,0.0,10,1.0
31,1041,大間,a,青森県,0.0,0.0,0.0,10,1.0
31,1042,大和山,a,青森県,0.0,,,0,0.0
31,1079,酸ケ湯,a,青森県,0.0,0.0,0.0,10,1.0
31,1108,岳,a,青森県,0.0,,,0,0.0
31,1122,小田野沢,a,青森県,0.0,0.0,0.0,10,1.0
31,1124,脇野沢,a,青森県,0.0,0.0,0.0,10,1.0
31,1183,七戸,a,青森県,0.0,,,0,0.0
31,1272,戸来,a,青森県,0.0,,,0,0.0
31,1406,温川,a,青森県,0.0,,,0,0.0
31,1559,湯野川,a,青森県,0.0,,,0,0.0
32,0181,陣場,a,秋田県,0.0,,,0,0.0
32,0204,湯の岱,a,秋田県,0.0,0.0,0.0,10,1.0
32,1109,東成瀬,a,秋田県,0.0,,,0,0.0
32,1115,比立内,a,秋田県,0.0,,,0,0.0
32,1167,鎧畑,a,秋田県,0.0,,,0,0.0
32,1273,藤里,a,秋田県,0.0,,,0,0.0
32,1278,桧木内,a,秋田県,0.0,,,0,0.0
31,0160,蟹田,a,青森県,0.0,0.0,0.0,10,1.0
24,1513,米岡,a,檜山地方,0.0,0.0,0.0,10,1.0
32,1407,笹子,a,秋田県,0.0,,,0,0.0
24,1205,石崎,a,檜山地方,0.0,,,0,0.0
22,1288,中杵臼,a,日高地方,0.0,0.0,0.0,10,1.0
22,1340,えりも岬,a,日高地方,0.0,0.0,0.0,10,1.0
22,1430,旭,a,日高地方,0.0,,,0,0.0
22,47426,浦河,s,日高地方,0.0,0.0,0.0,10,1.0
23,0143,長万部,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0144,八雲,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0145,森,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0146,大沼,a,渡島地方,0.0,,,0,0.0
23,0147,川汲,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0148,北斗,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0152,松前,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0155,熊石,a,渡島地方,0.0,0.0,0.0,10,1.0
23,0917,木古内,a,渡島地方,0.0,0.0,0.0,10,1.0
23,1265,千軒,a,渡島地方,0.0,,,0,0.0
23,1462,高松,a,渡島地方,0.0,0.0,0.0,10,1.0
23,1543,戸井泊,a,渡島地方,0.0,,,0,0.0
23,1552,知内,a,渡島地方,0.0,,,0,0.0
24,0153,せたな,a,檜山地方,0.0,0.0,0.0,10,1.0
24,0154,今金,a,檜山地方,0.0,0.0,0.0,10,1.0
24,0156,潮見,a,檜山地方,0.0,,,0,0.0
24,1199,奥尻,a,檜山地方,0.0,0.0,0.0,10,1.0
32,1289,八幡平,a,秋田県,0.0,0.0,0.0,10,1.0
32,1408,藤原,a,秋田県,0.0,,,0,0.0
22,1264,幌満,a,日高地方,0.0,,,0,0.0
34,1290,江ノ島,a,宮城県,0.0,0.0,0.0,6,0.6
34,1365,泉ケ岳,a,宮城県,0.0,,,0,0.0
34,1526,鴬沢,a,宮城県,0.0,,,0,0.0
34,1561,加美,a,宮城県,0.0,,,0,0.0
34,1632,岩沼,a,宮城県,0.0,,,0,0.0
35,0266,瀬見,a,山形県,0.0,,,0,0.0
35,0268,櫛引,a,山形県,0.0,,,0,0.0
35,1038,上草津,a,山形県,0.0,,,0,0.0
35,1125,肘折,a,山形県,0.0,0.0,0.0,10,1.0
35,1357,荒沢,a,山形県,0.0,,,0,0.0
35,1372,中津川,a,山形県,0.0,,,0,0.0
35,1562,上山中山,a,山形県,0.0,,,0,0.0
35,1664,酒田大沢,a,山形県,0.0,,,0,0.0
36,0288,原町,a,福島県,0.0,,,0,0.0
36,0290,猪苗代,a,福島県,0.0,0.0,0.0,10,1.0
36,0300,富岡,a,福島県,0.0,,,0,0.0
36,0310,平,a,福島県,0.0,,,0,0.0
36,1116,鷲倉,a,福島県,0.0,0.0,0.0,10,1.0
36,1130,飯舘,a,福島県,0.0,0.0,0.0,10,1.0
36,1150,津島,a,福島県,0.0,,,0,0.0
36,1268,長沼,a,福島県,0.0,,,0,0.0
36,1269,舘岩,a,福島県,0.0,,,0,0.0
34,1298,筆甫,a,宮城県,0.0,,,0,0.0
34,1126,駒ノ湯,a,宮城県,0.0,0.0,0.0,10,1.0
32,1422,男鹿真山,a,秋田県,0.0,,,0,0.0
34,0985,雄勝,a,宮城県,0.0,,,0,0.0
32,1425,仁別,a,秋田県,0.0,,,0,0.0
32,1652,田沢湖高原,a,秋田県,0.0,,,0,0.0
33,0226,豊沢,a,岩手県,0.0,,,0,0.0
33,0229,湯田,a,岩手県,0.0,0.0,0.0,10,1.0
33,1028,祭畤,a,岩手県,0.0,,,0,0.0
33,1037,大野,a,岩手県,0.0,,,0,0.0
33,1045,衣川,a,岩手県,0.0,,,0,0.0
33,1078,薮川,a,岩手県,0.0,0.0,0.0,10,1.0
33,1113,米里,a,岩手県,0.0,,,0,0.0
33,1118,沢内,a,岩手県,0.0,0.0,0.0,10,1.0
33,1168,葛根田,a,岩手県,0.0,,,0,0.0
33,1215,奥中山,a,岩手県,0.0,0.0,0.0,10,1.0
33,1332,下戸鎖,a,岩手県,0.0,,,0,0.0
33,1447,区界,a,岩手県,0.0,0.0,0.0,10,1.0
33,1508,大槌,a,岩手県,0.0,,,0,0.0
33,1557,大東,a,岩手県,0.0,,,0,0.0
33,1558,金ケ崎,a,岩手県,0.0,,,0,0.0
33,1560,滝沢,a,岩手県,0.0,,,0,0.0
33,1563,附馬牛,a,岩手県,0.0,,,0,0.0
33,1627,刈屋,a,岩手県,0.0,,,0,0.0
33,1653,一方井,a,岩手県,0.0,,,0,0.0
22,1276,目黒,a,日高地方,0.0,,,0,0.0
22,1198,三石,a,日高地方,0.0,0.0,0.0,10,1.0
36,1282,桧原,a,福島県,0.0,0.0,0.0,10,1.0
13,1213,焼尻,a,留萌地方,0.0,0.0,0.0,10,1.0
13,47404,羽幌,s,留萌地方,0.0,0.0,0.0,10,1.0
14,0032,手稲山,a,石狩地方,0.0,,,0,0.0
14,0034,小金湯,a,石狩地方,0.0,,,0,0.0
14,0035,恵庭島松,a,石狩地方,0.0,0.0,0.0,10,1.0
14,0037,支笏湖畔,a,石狩地方,0.0,0.0,0.0,10,1.0
14,1193,浜益,a,石狩地方,0.0,0.0,0.0,10,1.0
14,1459,千歳,a,石狩地方,0.0,0.0,0.0,10,1.0
15,1068,栗沢,a,空知地方,0.0,,,0,0.0
15,1400,浦臼,a,空知地方,0.0,,,0,0.0
15,1401,鹿島,a,空知地方,0.0,,,0,0.0
15,1402,沼の沢,a,空知地方,0.0,,,0,0.0
15,1419,新城,a,空知地方,0.0,,,0,0.0
15,1566,赤平,a,空知地方,0.0,,,0,0.0
15,1567,雨竜,a,空知地方,0.0,,,0,0.0
16,0052,余市,a,後志地方,0.0,0.0,0.0,10,1.0
16,0060,喜茂別,a,後志地方,0.0,0.0,0.0,10,1.0
16,0061,黒松内,a,後志地方,0.0,0.0,0.0,10,1.0
16,1072,真狩,a,後志地方,0.0,0.0,0.0,10,1.0
16,1091,赤井川,a,後志地方,0.0,,,0,0.0
16,1208,神恵内,a,後志地方,0.0,0.0,0.0,10,1.0
16,1615,ニセコ,a,後志地方,0.0,,,0,0.0
13,1216,初山別,a,留萌地方,0.0,0.0,0.0,10,1.0
13,1112,古丹別,a,留萌地方,0.0,,,0,0.0
16,47433,倶知安,s,後志地方,0.0,0.0,0.0,10,1.0
13,0028,増毛,a,留萌地方,0.0,0.0,0.0,10,1.0
11,1054,豊富,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1203,沼川,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1284,宗谷岬,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1285,浜鬼志別,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1512,本泊,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1528,声問,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1546,礼文,a,宗谷地方,0.0,0.0,0.0,10,1.0
11,1573,幌延,a,宗谷地方,0.0,,,0,0.0
11,47401,稚内,s,宗谷地方,0.0,0.0,0.0,10,1.0
11,47402,北見枝幸,s,宗谷地方,0.0,0.0,0.0,10,1.0
12,0009,西風連,a,上川地方,0.0,,,0,0.0
12,0017,瑞穂,a,上川地方,0.0,,,0,0.0
12,0020,白金,a,上川地方,0.0,,,0,0.0
12,1049,層雲峡,a,上川地方,0.0,,,0,0.0
12,1189,占冠,a,上川地方,0.0,0.0,0.0,10,1.0
12,1279,朱鞠内,a,上川地方,0.0,0.0,0.0,10,1.0
12,1570,小車,a,上川地方,0.0,,,0,0.0
12,1572,剣淵,a,上川地方,0.0,,,0,0.0
12,1574,金山,a,上川地方,0.0,,,0,0.0
13,0024,天塩,a,留萌地方,0.0,0.0,0.0,10,1.0
13,0025,遠別,a,留萌地方,0.0,0.0,0.0,10,1.0
16,47421,寿都,s,後志地方,0.0,0.0,0.0,10,1.0
17,0063,興部,a,網走・北見・紋別地方,0.0,0.0,0.0,10,1.0
22,1097,仁世宇,a,日高地方,0.0,,,0,0.0
20,1405,押帯,a,十勝地方,0.0,,,0,0.0
20,1410,上螺湾,a,十勝地方,0.0,,,0,0.0
20,1418,留真,a,十勝地方,0.0,,,0,0.0
20,1571,三股,a,十勝地方,0.0,,,0,0.0
21,0123,安平,a,胆振地方,0.0,,,0,0.0
21,0124,厚真,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0125,穂別,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0126,森野,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0128,大岸,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0130,白老,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0131,鵡川,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0132,伊達,a,胆振地方,0.0,0.0,0.0,10,1.0
21,0134,登別,a,胆振地方,0.0,0.0,0.0,10,1.0
21,1067,大滝,a,胆振地方,0.0,0.0,0.0,10,1.0
21,1329,洞爺湖温泉,a,胆振地方,0.0,,,0,0.0
21,1429,カルルス,a,胆振地方,0.0,,,0,0.0
21,1665,厚真幌内,a,胆振地方,0.0,,,0,0.0
21,47423,室蘭,s,胆振地方,0.0,0.0,0.0,10,1.0
21,47424,苫小牧,s,胆振地方,0.0,0.0,0.0,10,1.0
22,0136,日高門別,a,日高地方,0.0,0.0,0.0,10,1.0
22,0139,笹山,a,日高地方,0.0,,,0,0.0
22,0140,静内,a,日高地方,0.0,0.0,0.0,10,1.0
20,1409,柏倉,a,十勝地方,0.0,,,0,0.0
20,1404,小利別,a,十勝地方,0.0,,,0,0.0
17,0067,上藻別,a,網走・北見・紋別地方,0.0,,,0,0.0
20,0103,ぬかびら源泉郷,a,十勝地方,0.0,0.0,0.0,10,1.0
17,0073,仁頃山,a,網走・北見・紋別地方,0.0,,,0,0.0
17,1092,白滝,a,網走・北見・紋別地方,0.0,0.0,0.0,10,1.0
17,1263,東藻琴,a,網走・北見・紋別地方,0.0,,,0,0.0
17,1420,丸瀬布,a,網走・北見・紋別地方,0.0,,,0,0.0
17,1568,津別二又,a,網走・北見・紋別地方,0.0,,,0,0.0
17,1569,置戸常元,a,網走・北見・紋別地方,0.0,,,0,0.0
17,1617,山園,a,網走・北見・紋別地方,0.0,,,0,0.0
18,0084,羅臼,a,根室地方,0.0,0.0,0.0,10,1.0
18,1056,納沙布,a,根室地方,0.0,0.0,0.0,10,1.0
18,1196,厚床,a,根室地方,0.0,0.0,0.0,10,1.0
18,1266,糸櫛別,a,根室地方,0.0,,,0,0.0
18,47420,根室,s,根室地方,0.0,0.0,0.0,10,1.0
19,0096,阿寒,a,釧路地方,0.0,,,0,0.0
19,0098,白糠,a,釧路地方,0.0,0.0,0.0,10,1.0
19,1107,二俣,a,釧路地方,0.0,,,0,0.0
19,1192,太田,a,釧路地方,0.0,0.0,0.0,10,1.0
19,1283,知方学,a,釧路地方,0.0,0.0,0.0,10,1.0
19,1403,塘路,a,釧路地方,0.0,,,0,0.0
19,1417,茶内原野,a,釧路地方,0.0,,,0,0.0
19,1461,鶴丘,a,釧路地方,0.0,0.0,0.0,10,1.0
19,47418,釧路,s,釧路地方,0.0,0.0,0.0,10,1.0
36,1274,川前,a,福島県,0.0,,,0,0.0
36,1294,湯本,a,福島県,0.0,0.0,0.0,10,1.0
65,1074,本宮,a,和歌山県,0.0,,,0,0.0
53,0499,北勢,a,三重県,0.0,,,0,0.0
53,0507,名張,a,三重県,0.0,,,0,0.0
53,0511,藤坂峠,a,三重県,0.0,,,0,0.0
53,1255,宮川,a,三重県,0.0,,,0,0.0
53,1356,白山,a,三重県,0.0,,,0,0.0
53,1381,阿児,a,三重県,0.0,,,0,0.0
53,1423,御浜,a,三重県,0.0,,,0,0.0
54,0526,村松,a,新潟県,0.0,,,0,0.0
54,0530,栃尾,a,新潟県,0.0,,,0,0.0
54,1111,赤谷,a,新潟県,0.0,,,0,0.0
54,1154,小国,a,新潟県,0.0,,,0,0.0
54,1155,松代,a,新潟県,0.0,,,0,0.0
54,1256,高根,a,新潟県,0.0,,,0,0.0
54,1297,平岩,a,新潟県,0.0,,,0,0.0
54,1369,三面,a,新潟県,0.0,,,0,0.0
54,1370,大湯,a,新潟県,0.0,,,0,0.0
54,1395,塩沢,a,新潟県,0.0,,,0,0.0
54,1398,宮寄上,a,新潟県,0.0,,,0,0.0
54,1424,樽本,a,新潟県,0.0,,,0,0.0
54,1426,川谷,a,新潟県,0.0,,,0,0.0
54,1427,筒方,a,新潟県,0.0,,,0,0.0
54,1444,室谷,a,新潟県,0.0,,,0,0.0
53,0505,笠取山,a,三重県,0.0,,,0,0.0
52,1577,関市板取,a,岐阜県,0.0,,,0,0.0
55,1412,宇奈月,a,富山県,0.0,,,0,0.0
52,1438,丹生川,a,岐阜県,0.0,,,0,0.0
50,1673,熱海伊豆山,a,静岡県,0.0,0.0,0.0,4,0.4
50,47639,富士山,s,静岡県,0.0,0.0,0.0,10,1.0
11,0003,浜頓別,a,宗谷地方,0.0,0.0,0.0,10,1.0
50,47666,石廊崎,s,静岡県,0.0,0.0,0.0,10,1.0
51,0460,一宮,a,愛知県,0.0,,,0,0.0
51,0462,茶臼山,a,愛知県,0.0,,,0,0.0
51,0468,作手,a,愛知県,0.0,,,0,0.0
51,0469,一色,a,愛知県,0.0,,,0,0.0
51,0472,田原,a,愛知県,0.0,,,0,0.0
51,0983,蟹江,a,愛知県,0.0,,,0,0.0
51,1166,小原,a,愛知県,0.0,,,0,0.0
51,1576,阿蔵,a,愛知県,0.0,,,0,0.0
52,0480,船山,a,岐阜県,0.0,,,0,0.0
52,0490,伽藍,a,岐阜県,0.0,,,0,0.0
52,1059,上石津,a,岐阜県,0.0,,,0,0.0
52,1305,六厩,a,岐阜県,0.0,0.0,0.0,10,1.0
52,1311,宮之前,a,岐阜県,0.0,0.0,0.0,10,1.0
52,1384,付知,a,岐阜県,0.0,,,0,0.0
52,1387,御母衣,a,岐阜県,0.0,,,0,0.0
52,1436,ひるがの,a,岐阜県,0.0,,,0,0.0
52,1437,清見,a,岐阜県,0.0,,,0,0.0
54,1645,瓢湖,a,新潟県,0.0,,,0,0.0
55,1414,大山,a,富山県,0.0,,,0,0.0
50,1662,春野,a,静岡県,0.0,,,0,0.0
61,1671,綾部山家,a,京都府,0.0,,,0,0.0
62,0605,河内長野,a,大阪府,0.0,,,0,0.0
62,1602,茨木,a,大阪府,0.0,,,0,0.0
63,0608,温泉,a,兵庫県,0.0,,,0,0.0
63,0611,八鹿,a,兵庫県,0.0,,,0,0.0
63,0617,佐用,a,兵庫県,0.0,,,0,0.0
63,0618,後川,a,兵庫県,0.0,,,0,0.0
63,0967,大屋,a,兵庫県,0.0,,,0,0.0
63,1588,西宮,a,兵庫県,0.0,,,0,0.0
64,0631,田原本,a,奈良県,0.0,,,0,0.0
64,0632,曽爾,a,奈良県,0.0,,,0,0.0
64,0641,玉置山,a,奈良県,0.0,,,0,0.0
64,1376,葛城,a,奈良県,0.0,,,0,0.0
64,1439,吉野,a,奈良県,0.0,,,0,0.0
64,1619,天川,a,奈良県,0.0,,,0,0.0
64,1649,下北山,a,奈良県,0.0,,,0,0.0
64,1669,葛川,a,奈良県,0.0,,,0,0.0
65,0642,葛城山,a,和歌山県,0.0,,,0,0.0
65,0645,高野山,a,和歌山県,0.0,0.0,0.0,10,1.0
65,0646,護摩壇山,a,和歌山県,0.0,,,0,0.0
65,0651,日置川,a,和歌山県,0.0,,,0,0.0
65,0978,湯浅,a,和歌山県,0.0,,,0,0.0
62,0604,生駒山,a,大阪府,0.0,0.0,0.0,10,1.0
61,1641,坂浦,a,京都府,0.0,,,0,0.0
55,1455,猪谷,a,富山県,0.0,,,0,0.0
61,1383,三和,a,京都府,0.0,,,0,0.0
55,1553,五箇山,a,富山県,0.0,,,0,0.0
55,1621,立山芦峅,a,富山県,0.0,,,0,0.0
56,0562,門前,a,石川県,0.0,,,0,0.0
56,0570,医王山,a,石川県,0.0,,,0,0.0
56,1171,白山白峰,a,石川県,0.0,,,0,0.0
56,1545,宝達志水,a,石川県,0.0,,,0,0.0
56,1650,舳倉島,a,石川県,0.0,,,0,0.0
57,0974,美山,a,福井県,0.0,,,0,0.0
57,1382,九頭竜,a,福井県,0.0,,,0,0.0
57,1454,大飯,a,福井県,0.0,,,0,0.0
57,1565,武生,a,福井県,0.0,,,0,0.0
60,0584,近江八幡,a,滋賀県,0.0,,,0,0.0
60,1087,柳ケ瀬,a,滋賀県,0.0,,,0,0.0
60,1578,朽木平良,a,滋賀県,0.0,,,0,0.0
61,0588,峰山,a,京都府,0.0,,,0,0.0
61,0928,京北,a,京都府,0.0,,,0,0.0
61,0966,本庄,a,京都府,0.0,,,0,0.0
61,1025,長岡京,a,京都府,0.0,,,0,0.0
61,1160,睦寄,a,京都府,0.0,,,0,0.0
61,1378,須知,a,京都府,0.0,,,0,0.0
61,1380,綾部,a,京都府,0.0,,,0,0.0
50,1668,有東木,a,静岡県,0.0,,,0,0.0
50,1440,鍵穴,a,静岡県,0.0,,,0,0.0
36,1295,桧枝岐,a,福島県,0.0,0.0,0.0,10,1.0
42,1174,片品,a,群馬県,0.0,,,0,0.0
42,1259,黒保根,a,群馬県,0.0,,,0,0.0
43,0362,飯能,a,埼玉県,0.0,,,0,0.0
43,1000,三峰,a,埼玉県,0.0,,,0,0.0
43,1069,鴻巣,a,埼玉県,0.0,,,0,0.0
43,1159,浦山,a,埼玉県,0.0,,,0,0.0
43,1182,上吉田,a,埼玉県,0.0,,,0,0.0
43,1497,ときがわ,a,埼玉県,0.0,,,0,0.0
44,0368,世田谷,a,東京都,0.0,,,0,0.0
44,1180,小沢,a,東京都,0.0,,,0,0.0
44,1467,大島北ノ山,a,東京都,0.0,0.0,0.0,10,1.0
44,1522,新島,a,東京都,0.0,0.0,0.0,10,1.0
44,1523,神津島,a,東京都,0.0,0.0,0.0,10,1.0
44,1595,母島,a,東京都,0.0,,,0,0.0
44,1643,大島泉津,a,東京都,0.0,,,0,0.0
44,1644,大島差木地,a,東京都,0.0,,,0,0.0
44,1646,利島,a,東京都,0.0,,,0,0.0
44,1648,青ヶ島,a,東京都,0.0,,,0,0.0
44,47677,三宅島,s,東京都,0.0,0.0,0.0,10,1.0
44,47971,父島,s,東京都,0.0,0.0,0.0,10,1.0
44,47991,南鳥島,s,東京都,0.0,0.0,0.0,10,1.0
45,0377,東庄,a,千葉県,0.0,,,0,0.0
42,1222,藤原,a,群馬県,0.0,0.0,0.0,10,1.0
42,0355,藤岡,a,群馬県,0.0,,,0,0.0
45,1004,大多喜,a,千葉県,0.0,,,0,0.0
42,0349,榛名山,a,群馬県,0.0,,,0,0.0
36,1386,湖南,a,福島県,0.0,,,0,0.0
40,0314,花園,a,茨城県,0.0,,,0,0.0
40,0323,坂東,a,茨城県,0.0,,,0,0.0
40,0911,江戸崎,a,茨城県,0.0,,,0,0.0
40,1012,柿岡,a,茨城県,0.0,,,0,0.0
40,1013,美野里,a,茨城県,0.0,,,0,0.0
40,1170,中野,a,茨城県,0.0,,,0,0.0
40,1173,徳田,a,茨城県,0.0,,,0,0.0
40,1388,門井,a,茨城県,0.0,,,0,0.0
40,1421,大能,a,茨城県,0.0,,,0,0.0
41,0326,那須高原,a,栃木県,0.0,0.0,0.0,10,1.0
41,0334,高根沢,a,栃木県,0.0,,,0,0.0
41,0337,葛生,a,栃木県,0.0,,,0,0.0
41,0339,足利,a,栃木県,0.0,,,0,0.0
41,0340,栃木,a,栃木県,0.0,,,0,0.0
41,1016,足尾,a,栃木県,0.0,,,0,0.0
41,1221,土呂部,a,栃木県,0.0,0.0,0.0,10,1.0
41,1675,日光東町,a,栃木県,0.0,0.0,0.0,4,0.4
41,47690,奥日光（日光）,s,栃木県,0.0,0.0,0.0,10,1.0
42,0343,草津,a,群馬県,0.0,0.0,0.0,10,1.0
42,0348,田代,a,群馬県,0.0,0.0,0.0,10,1.0
45,0383,鋸南,a,千葉県,0.0,,,0,0.0
45,47674,勝浦,s,千葉県,0.0,0.0,0.0,10,1.0
50,1393,三倉,a,静岡県,0.0,,,0,0.0
48,1360,聖高原,a,長野県,0.0,,,0,0.0
48,1397,杉島,a,長野県,0.0,,,0,0.0
48,1411,小谷,a,長野県,0.0,,,0,0.0
48,1549,北相木,a,長野県,0.0,,,0,0.0
48,1550,白樺湖,a,長野県,0.0,,,0,0.0
48,1551,高遠,a,長野県,0.0,,,0,0.0
48,47622,軽井沢,s,長野県,0.0,0.0,0.0,10,1.0
49,0438,山中,a,山梨県,0.0,0.0,0.0,10,1.0
49,1165,上野原,a,山梨県,0.0,,,0,0.0
49,1599,乙女湖,a,山梨県,0.0,,,0,0.0
49,1640,富士川,a,山梨県,0.0,,,0,0.0
49,47639,富士山,s,山梨県,0.0,0.0,0.0,10,1.0
50,0440,白糸,a,静岡県,0.0,,,0,0.0
50,0444,越木平,a,静岡県,0.0,,,0,0.0
50,0448,高根山,a,静岡県,0.0,,,0,0.0
50,0453,湯ケ島,a,静岡県,0.0,,,0,0.0
50,0454,天城山,a,静岡県,0.0,,,0,0.0
